DISTRICT,UNIT,YEAR,no.of.VEHICLES,ACCIDENT_classification,ACCIDENT_SPOT,AccidentLocation,AccidentSubLocation,HitAndRun,Severity,CollisionType,RoadCharacter,RoadType,SurfaceType,SurfaceCondition,Weather,LaneType,RoadMark
Bagalkot,Badami PS,2016,1,Road Accidents,Narrow road,Rural Areas,Open area,No,Fatal,Hit fixed object,Others,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2016,2,Road Accidents,Other,Rural Areas,Open area,No,Grievous Injury,Others,Others,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2016,2,Road Accidents,Other,Rural Areas,Open area,No,Fatal,Head on,Others,Others,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2016,1,Road Accidents,Other,Rural Areas,Near or inside a village,Not Applicable,Not Applicable,Others,Not Applicable,Village Road,Bitumen(Tar),Not Applicable,Fine,NULL,NULL
Bagalkot,Badami PS,2016,2,Road Accidents,Other,Rural Areas,Near or inside a village,No,Grievous Injury,Others,Others,Village Road,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2016,2,Road Accidents,Narrow road,Rural Areas,Open area,No,Fatal,Head on,Others,NH,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2016,1,Road Accidents,Narrow road,Rural Areas,Open area,No,Fatal,Skidding or Self accident,Curve,Others,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2016,1,Road Accidents,Other,Rural Areas,Open area,No,Grievous Injury,Overturning,Others,Village Road,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2016,1,Road Accidents,Other,Rural Areas,Open area,No,Grievous Injury,Others,Others,Others,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2016,1,Road Accidents,Other,City/Town,Open area,No,Grievous Injury,Others,Straight and flat,Others,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2016,2,Road Accidents,Other,Rural Areas,Open area,Yes,Grievous Injury,Hit and Run,Others,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2016,1,Road Accidents,Other,Villages settlement,Near or inside a village,Not Applicable,Grievous Injury,Others,Others,Village Road,Bitumen(Tar),Not Applicable,Fine,NULL,NULL
Bagalkot,Badami PS,2016,2,Road Accidents,Other,Rural Areas,Open area,No,Grievous Injury,Overturning,Others,Others,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2016,2,Road Accidents,Curves,Rural Areas,Near Petrol Pump,Yes,Grievous Injury,Overturning,Others,NH,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2016,1,Road Accidents,Other,Rural Areas,Open area,Not Applicable,Fatal,Others,Others,Others,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Badami PS,2016,2,Road Accidents,Other,Villages settlement,Near or inside a village,Not Applicable,Simple Injury,Not Applicable,Others,State Highway,Bitumen(Tar),Not Applicable,Fine,NULL,NULL
Bagalkot,Badami PS,2016,2,Road Accidents,Other,City/Town,Near Petrol Pump,Not Applicable,Damage Only,Not Applicable,Not Applicable,State Highway,Bitumen(Tar),Others,Fine,NULL,NULL
Bagalkot,Badami PS,2016,2,Road Accidents,Curves,Rural Areas,Open area,No,Fatal,Head on,Curve,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2016,2,Road Accidents,Other,Rural Areas,Open area,No,Fatal,Head on,Others,NH,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2016,2,Road Accidents,Narrow road,Rural Areas,Open area,No,Fatal,Head on,Others,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2016,1,Road Accidents,Narrow road,Rural Areas,Open area,Yes,Fatal,Hit and Run,Others,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2016,2,Road Accidents,Other,Villages settlement,Open area,No,Grievous Injury,Others,Others,Village Road,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2016,1,Road Accidents,Narrow road,Rural Areas,Open area,No,Fatal,Side swipe,Others,Others,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2016,2,Road Accidents,Narrow road,Rural Areas,Open area,No,Fatal,Others,Others,State Highway,Bitumen(Tar),Others,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Other,Rural Areas,Open area,No,Fatal,Skidding or Self accident,Straight and flat,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,2,Road Accidents,Other,Rural Areas,Open area,No,Grievous Injury,Overturning,Others,Village Road,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Narrow road,Rural Areas,Near Bus stop,No,Fatal,Hit pedestrian,Others,Others,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,2,Road Accidents,Other,Rural Areas,Residential area,No,Grievous Injury,Others,Others,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Other,Rural Areas,Open area,No,Fatal,Others,Others,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Other,Rural Areas,Open area,No,Grievous Injury,Overturning,Others,NH,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,2,Road Accidents,Bridge,Rural Areas,Open area,No,Fatal,Head on,Others,NH,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Narrow road,Rural Areas,Open area,No,Fatal,Side swipe,Not Applicable,NH,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Curves,Rural Areas,Open area,No,Fatal,Side impact or Right angle,Curve,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Curves,City/Town,Open area,No,Fatal,Side swipe,Curve,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Y Junction,Rural Areas,Open area,Not Applicable,Damage Only,Others,Others,NH,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Narrow road,Rural Areas,Open area,No,Fatal,Skidding or Self accident,Others,NH,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,2,Road Accidents,Other,Rural Areas,Open area,Not Applicable,Fatal,Others,Not Applicable,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,2,Road Accidents,Other,City/Town,Near Bus stop,No,Grievous Injury,Others,Others,City or Town Road,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,2,Road Accidents,Other,Rural Areas,Open area,Not Applicable,Damage Only,Others,Not Applicable,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Other,Rural Areas,Open area,No,Grievous Injury,Others,Others,Village Road,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,2,Road Accidents,Other,Rural Areas,Open area,No,Grievous Injury,Others,Others,Village Road,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Narrow road,Rural Areas,Open area,No,Fatal,Skidding or Self accident,Others,Others,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,2,Road Accidents,Other,Rural Areas,Open area,No,Grievous Injury,Overturning,Others,Village Road,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Other,Rural Areas,Open area,No,Grievous Injury,Overturning,Others,NH,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Narrow road,Rural Areas,Near Bus stop,No,Fatal,Skidding or Self accident,Others,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Other,Rural Areas,Near Petrol Pump,Yes,Fatal,Others,Not Applicable,NH,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,2,Road Accidents,Narrow road,City/Town,Open area,No,Fatal,Head on,Not Applicable,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Narrow road,Rural Areas,Open area,No,Fatal,Hit pedestrian,Others,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Other,Rural Areas,Open area,No,Grievous Injury,Overturning,Others,Village Road,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Narrow road,Rural Areas,Near Bus stop,No,Fatal,Others,Others,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Narrow road,Rural Areas,Near Bus stop,No,Fatal,Hit pedestrian,Others,NH,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,2,Road Accidents,Other,Rural Areas,Open area,No,Grievous Injury,Others,Others,Village Road,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Narrow road,Rural Areas,Open area,No,Fatal,Head on,Not Applicable,Others,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,2,Road Accidents,Other,Rural Areas,Near or inside a village,Not Applicable,Grievous Injury,Others,Not Applicable,NH,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Narrow road,Rural Areas,Open area,No,Fatal,Side swipe,Curve,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Other,Rural Areas,Open area,No,Grievous Injury,Overturning,Others,Others,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Not Applicable,City/Town,Residential area,No,Simple Injury,Others,Not Applicable,Others,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,2,Road Accidents,Other,Rural Areas,Open area,No,Grievous Injury,Others,Not Applicable,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,2,Road Accidents,Other,Rural Areas,Open area,No,Fatal,Others,Not Applicable,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,2,Road Accidents,Other,City/Town,Open area,No,Grievous Injury,Others,Not Applicable,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,2,Road Accidents,Circle,City/Town,Residential area,No,Fatal,Overturning,Others,City or Town Road,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,2,Road Accidents,Not Applicable,Rural Areas,Near or inside a village,No,Damage Only,Others,Not Applicable,NH,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Other,Rural Areas,Open area,No,Grievous Injury,Overturning,Others,Village Road,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,2,Road Accidents,Other,Rural Areas,Open area,No,Grievous Injury,Overturning,Straight and flat,NH,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Other,City/Town,Near Bus stop,No,Fatal,Hit pedestrian,Others,Others,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Curves,Rural Areas,Near School or College,No,Fatal,Hit fixed object,Curve,NH,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,2,Road Accidents,Other,Rural Areas,Open area,No,Grievous Injury,Others,Others,Others,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Badami PS,2017,2,Road Accidents,Narrow road,Rural Areas,Open area,No,Fatal,Head on,Others,Others,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Narrow road,Rural Areas,Open area,No,Fatal,Skidding or Self accident,Others,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Other,Villages settlement,Open area,Not Applicable,Grievous Injury,Others,Not Applicable,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Other,Rural Areas,Open area,No,Grievous Injury,Others,Others,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Not Applicable,Rural Areas,Open area,No,Grievous Injury,Skidding or Self accident,Straight and flat,Service Road,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,T Junction,Rural Areas,Near Bus stop,No,Grievous Injury,Hit bicyclist,Not Applicable,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Other,Rural Areas,Open area,No,Grievous Injury,Others,Others,Village Road,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,2,Road Accidents,Narrow road,Rural Areas,Open area,No,Fatal,Head on,Others,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,1,Road Accidents,Other,City/Town,Near Bus stop,No,Grievous Injury,Overturning,Others,City or Town Road,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,2,Road Accidents,Other,Rural Areas,Open area,No,Grievous Injury,Others,Others,NH,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2017,2,Road Accidents,Other,Rural Areas,Open area,No,Grievous Injury,Others,Straight and flat,Service Road,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Badami PS,2018,1,Road Accidents,Other,Rural Areas,Open area,No,Fatal,Skidding or Self accident,Straight and flat,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Badami PS,2018,2,Road Accidents,Other,City/Town,Near School or College,No,Grievous Injury,Overturning,Straight and flat,NH,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,1,Road Accidents,Other,Rural Areas,Open area,No,Fatal,Others,Others,Others,Bitumen(Tar),Others,Others,NULL,NULL
Bagalkot,Badami PS,2018,1,Road Accidents,Other,Rural Areas,Open area,No,Grievous Injury,Others,Others,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Badami PS,2018,2,Road Accidents,Narrow road,Rural Areas,Open area,No,Fatal,Head on,Others,Others,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,1,Road Accidents,T Junction,Rural Areas,Open area,No,Simple Injury,Overturning,Slight Curve,Village Road,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Badami PS,2018,1,Road Accidents,T Junction,City/Town,Residential area,No,Grievous Injury,Hit pedestrian,Straight and flat,Service Road,Concrete,Dry,Clear,NULL,NULL
Bagalkot,Badami PS,2018,1,Road Accidents,Other,Rural Areas,Open area,Yes,Fatal,Hit and Run,Others,Others,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,2,Road Accidents,Other,Rural Areas,Open area,Not Applicable,Grievous Injury,Others,Others,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,1,Road Accidents,Other,Rural Areas,Near or inside a village,Yes,Grievous Injury,Others,Others,Village Road,Bitumen(Tar),Others,Not Applicable,NULL,NULL
Bagalkot,Badami PS,2018,1,Road Accidents,Other,Rural Areas,Open area,No,Fatal,Skidding or Self accident,Straight and flat,Village Road,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,1,Road Accidents,Narrow road,Rural Areas,Open area,Yes,Fatal,Hit and Run,Not Applicable,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,2,Road Accidents,Cross roads,Rural Areas,Open area,No,Fatal,Overturning,Others,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,2,Road Accidents,Not Applicable,City/Town,Near Hospital,No,Grievous Injury,Side swipe,Others,State Highway,Bitumen(Tar),Not Applicable,Clear,NULL,NULL
Bagalkot,Badami PS,2018,1,Road Accidents,Other,Rural Areas,Open area,No,Fatal,Skidding or Self accident,Straight and flat,Major District Road,Bitumen(Tar),Not Applicable,Fine,NULL,NULL
Bagalkot,Badami PS,2018,1,Not Applicable,Other,Rural Areas,Near Petrol Pump,No,Damage Only,Others,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Clear,NULL,NULL
Bagalkot,Badami PS,2018,1,Road Accidents,Not Applicable,Rural Areas,Open area,Not Applicable,Fatal,Others,Not Applicable,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,3,Road Accidents,Bridge,Rural Areas,Open area,No,Simple Injury,Others,Straight and flat,Village Road,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Badami PS,2018,1,Road Accidents,Curves,Rural Areas,Open area,No,Grievous Injury,Others,Curve,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Badami PS,2018,1,Road Accidents,Other,Rural Areas,Open area,No,Fatal,Others,Others,Others,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,2,Road Accidents,Offset,Rural Areas,Near Petrol Pump,No,Simple Injury,Others,Straight and flat,NH,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Badami PS,2018,2,Road Accidents,Other,Rural Areas,Open area,No,Fatal,Head on,Others,Others,Bitumen(Tar),Dry,Others,NULL,NULL
Bagalkot,Badami PS,2018,2,Road Accidents,Other,City/Town,Near School or College,No,Simple Injury,Not Applicable,Others,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,1,Road Accidents,Other,Rural Areas,Near or inside a village,Not Applicable,Simple Injury,Others,Not Applicable,State Highway,Bitumen(Tar),Not Applicable,Fine,NULL,NULL
Bagalkot,Badami PS,2018,1,Road Accidents,Other,Rural Areas,Open area,No,Fatal,Skidding or Self accident,Others,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,2,Road Accidents,Other,Rural Areas,Open area,No,Grievous Injury,Others,Not Applicable,Others,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,1,Road Accidents,Narrow road,Rural Areas,Near Petrol Pump,No,Fatal,Side swipe,Others,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,2,Road Accidents,Junction,Rural Areas,Open area,No,Grievous Injury,Others,Straight and flat,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Badami PS,2018,2,Road Accidents,Not Applicable,Rural Areas,Open area,No,Fatal,Side swipe,Others,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,2,Road Accidents,Not Applicable,Rural Areas,Open area,No,Fatal,Vehicle to Vehicle,Straight and flat,NH,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,1,Road Accidents,Other,Rural Areas,Open area,No,Simple Injury,Others,Straight and flat,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,1,Road Accidents,Narrow road,City/Town,Near Petrol Pump,No,Fatal,Side swipe,Straight and flat,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,1,Road Accidents,Cross roads,City/Town,At pedestrian Crossing,No,Grievous Injury,Overturning,Others,City or Town Road,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,1,Road Accidents,Other,Rural Areas,Open area,No,Fatal,Head on,Others,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,3,Road Accidents,Other,Rural Areas,Open area,No,Fatal,Head on,Others,State Highway,Bitumen(Tar),Others,Fine,NULL,NULL
Bagalkot,Badami PS,2018,1,Road Accidents,Narrow road,Rural Areas,Open area,No,Fatal,Side swipe,Others,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,2,Road Accidents,Other,Rural Areas,Residential area,No,Fatal,Others,Others,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,2,Road Accidents,Other,Rural Areas,Open area,No,Fatal,Others,Others,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,1,Road Accidents,Other,Rural Areas,Open area,No,Fatal,Head on,Others,Others,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,1,Road Accidents,Other,Rural Areas,Open area,No,Fatal,Others,Others,Others,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,2,Road Accidents,Other,Rural Areas,Open area,No,Grievous Injury,Overturning,Others,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,2,Road Accidents,Other,Rural Areas,Open area,Not Applicable,Simple Injury,Not Applicable,Straight and flat,State Highway,Bitumen(Tar),Dry,Not Applicable,NULL,NULL
Bagalkot,Badami PS,2018,2,Road Accidents,Other,Rural Areas,Open area,No,Grievous Injury,Overturning,Others,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,1,Road Accidents,Other,Villages settlement,Open area,No,Grievous Injury,Overturning,Others,Village Road,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,2,Road Accidents,Not Applicable,Rural Areas,Open area,No,Grievous Injury,Others,Others,Village Road,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,1,Road Accidents,Other,City/Town,Open area,Yes,Grievous Injury,Overturning,Others,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,1,Rail Road Accidents,Other,Rural Areas,Open area,No,Fatal,Others,Straight and flat,NH,Bitumen(Tar),Others,Others,NULL,NULL
Bagalkot,Badami PS,2018,2,Road Accidents,Narrow road,Rural Areas,Open area,No,Fatal,Others,Others,Others,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,2,Road Accidents,Other,Rural Areas,Open area,No,Fatal,Head on,Others,NH,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Badami PS,2018,1,Road Accidents,Other,Rural Areas,Open area,No,Fatal,Others,Straight and flat,State Highway,Bitumen(Tar),Dry,Others,NULL,NULL
Bagalkot,Badami PS,2018,2,Road Accidents,Other,Rural Areas,Open area,No,Fatal,Others,Others,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,2,Road Accidents,Y Junction,Rural Areas,Open area,Not Applicable,Grievous Injury,Others,Not Applicable,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,1,Rail Road Accidents,Other,City/Town,In bazaar,No,Fatal,Hit pedestrian,Others,NH,Bitumen(Tar),Others,Clear,NULL,NULL
Bagalkot,Badami PS,2018,3,Road Accidents,Other,Rural Areas,Open area,Yes,Simple Injury,Overturning,Others,Village Road,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,2,Road Accidents,Other,City/Town,Open area,No,Grievous Injury,Others,Others,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2018,2,Road Accidents,Other,City/Town,Open area,No,Grievous Injury,Overturning,Others,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2019,2,Road Accidents,Narrow road,Rural Areas,Open area,No,Fatal,Vehicle to Vehicle,Others,Others,Bitumen(Tar),Dry,Fine,SingleLane,NULL
Bagalkot,Badami PS,2019,3,Road Accidents,Not Applicable,Rural Areas,Open area,No,Fatal,Vehicle to Vehicle,Straight and flat,Minor District Road,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2019,2,Road Accidents,Cross roads,Rural Areas,Open area,No,Grievous Injury,Vehicle to Vehicle,Slight Curve,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2019,1,Road Accidents,Not Applicable,City/Town,Open area,No,Fatal,Hit pedestrian,Straight and flat,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2019,1,Road Accidents,Not Applicable,Rural Areas,Open area,No,Fatal,Not Applicable,Hump,Others,Bitumen(Tar),Dry,Fine,SingleLane,NULL
Bagalkot,Badami PS,2019,1,Road Accidents,Other,Rural Areas,Open area,No,Grievous Injury,Skidding or Self accident,Straight and flat,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2019,1,Road Accidents,Other,City/Town,Near Bus stop,No,Grievous Injury,Others,Others,Others,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2019,1,Road Accidents,Not Applicable,Rural Areas,Open area,No,Grievous Injury,Vehicle to Vehicle,Not Applicable,Others,Bitumen(Tar),Others,Others,NULL,NULL
Bagalkot,Badami PS,2019,1,Road Accidents,Not Applicable,Rural Areas,Open area,No,Grievous Injury,Vehicle to Vehicle,Not Applicable,Others,Kutcha,Dry,Others,NULL,NULL
Bagalkot,Badami PS,2019,1,Road Accidents,Other,City/Town,Open area,No,Grievous Injury,Skidding or Self accident,Others,Two way,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2019,1,Road Accidents,Circle,City/Town,In bazaar,No,Grievous Injury,Others,Curve,Others,Concrete,Dry,Others,NULL,NULL
Bagalkot,Badami PS,2019,2,Road Accidents,Other,Rural Areas,Open area,No,Grievous Injury,Others,Others,NH,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2019,1,Road Accidents,Narrow road,Rural Areas,Open area,No,Fatal,Not Applicable,Others,Others,Bitumen(Tar),Dry,Fine,Others,NULL
Bagalkot,Badami PS,2019,1,Road Accidents,Curves,Rural Areas,Open area,No,Grievous Injury,Not Applicable,Curve and Incline,Service Road,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2019,1,Road Accidents,Not Applicable,Rural Areas,Near Petrol Pump,No,Grievous Injury,Hit pedestrian,Straight and flat,NH,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2019,1,Road Accidents,Other,Rural Areas,Open area,Not Applicable,Fatal,Others,Not Applicable,Village Road,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2019,2,Road Accidents,Other,City/Town,Open area,No,Grievous Injury,Others,Others,Others,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Badami PS,2019,1,Road Accidents,Cross roads,City/Town,Near office complex,No,Not Applicable,Overturning,Others,Two way,Bitumen(Tar),Dry,Fine,DualLane,NULL
Bagalkot,Badami PS,2019,1,Road Accidents,Not Applicable,Rural Areas,Open area,No,Fatal,Not Applicable,Straight and flat,State Highway,Bitumen(Tar),Dry,Fine,NULL,NULL
